time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-13T23:01:39.240Z,-23.2172,-69.2423,93.93,4.1,mb,,55,0.21,0.91,us,us2000iv22,2019-02-16T22:29:07.040Z,"90 km SSW of Calama, Chile",earthquake,5.1,8.5,0.157,11,reviewed,us,us
2018-12-13T04:51:30.720Z,-21.2193,-68.6841,124.3,4.2,mb,,88,0.77,0.98,us,us2000iv1g,2019-02-16T22:29:07.040Z,"139 km N of Calama, Chile",earthquake,5,8,0.186,8,reviewed,us,us
2018-12-13T04:04:27.920Z,-27.6843,-69.0879,100.38,4.6,mwr,,38,1.021,0.97,us,us2000it4i,2019-02-16T22:29:06.040Z,"127 km ESE of Copiapó, Chile",earthquake,6.2,5.4,0.053,34,reviewed,us,us
2018-12-12T13:13:34.040Z,-18.0289,-70.0071,129.53,4.3,mb,,163,0.465,0.73,us,us2000isw2,2019-02-16T22:29:06.040Z,"21 km ESE of Calana, Peru",earthquake,8.4,8.1,0.265,5,reviewed,us,us
2018-12-12T00:31:03.730Z,-50.6259,-74.1244,17.21,4.7,mb,,154,1.301,0.97,us,us2000ismi,2019-02-16T22:29:05.040Z,"134 km WSW of El Calafate, Argentina",earthquake,9.1,4.3,0.088,39,reviewed,us,us
2018-12-11T23:25:12.780Z,-30.5644,-71.3725,54.71,4.3,mb,,85,0.251,0.79,us,us2000islv,2019-02-16T22:29:05.040Z,"17 km WNW of Ovalle, Chile",earthquake,4.4,4.7,0.154,12,reviewed,us,us
2018-12-11T17:55:06.510Z,-34.9789,-71.1191,96.01,4.6,mwr,,47,0.334,0.72,us,us2000isjl,2019-02-16T22:29:05.040Z,"10 km E of Curicó, Chile",earthquake,4.6,4.3,0.045,47,reviewed,us,us
2018-12-11T12:13:49.450Z,-22.2913,-67.2948,218.01,4.5,mb,,121,1.048,0.76,us,us2000iuq0,2019-02-16T22:29:04.040Z,"115 km NE of San Pedro de Atacama, Chile",earthquake,8.3,9.7,0.241,5,reviewed,us,us
2018-12-11T05:33:11.430Z,-21.0083,-70.0454,58.04,4.7,mb,,133,0.458,1.39,us,us2000isff,2019-02-16T22:29:04.040Z,"88 km S of Iquique, Chile",earthquake,6.7,8.1,0.082,45,reviewed,us,us
2018-12-10T19:57:44.000Z,-23.4716,-66.4708,197.55,4.3,mb,,94,1.654,1.28,us,us2000is77,2019-02-16T22:29:03.040Z,"84 km N of San Antonio de los Cobres, Argentina",earthquake,10.6,9.1,0.168,10,reviewed,us,us
2018-12-10T07:43:00.430Z,-9.3038,-75.3058,126.24,4.2,mb,,116,3.01,1.1,us,us2000itlw,2019-02-16T22:29:02.040Z,"51 km NW of Yuyapichis, Peru",earthquake,7.8,7.7,0.132,16,reviewed,us,us
2018-12-10T06:31:12.530Z,-22.1849,-68.6617,114.42,3.9,mwr,,42,0.662,0.87,us,us2000itlt,2019-02-16T22:29:02.040Z,"40 km NE of Calama, Chile",earthquake,4.9,5.4,0.098,10,reviewed,us,us
2018-12-09T23:06:56.670Z,-21.7967,-68.3994,133.36,4.9,mb,,21,0.783,1.27,us,us1000i5gh,2019-02-16T19:52:35.040Z,"90 km NE of Calama, Chile",earthquake,4.7,3,0.036,246,reviewed,us,us
2018-12-09T20:42:42.130Z,-23.8858,-66.7135,199.76,4.8,mb,,34,1.635,1.11,us,us1000i5er,2019-02-16T19:52:35.040Z,"54 km NW of San Antonio de los Cobres, Argentina",earthquake,4.6,8.4,0.118,22,reviewed,us,us
2018-12-09T15:55:00.330Z,-24.7525,-70.5736,35.2,4,mb,,155,0.199,0.46,us,us1000i5ca,2019-02-16T19:52:34.040Z,"73 km N of Taltal, Chile",earthquake,5.9,5.3,0.299,6,reviewed,us,us
2018-12-08T16:11:32.500Z,-33.3231,-70.3612,100.56,4.3,mb,,33,0.053,0.75,us,us1000i538,2019-02-16T19:52:32.040Z,"25 km NE of Villa Presidente Frei, Ñuñoa, Santiago, Chile, Chile",earthquake,5.9,5.8,0.161,11,reviewed,us,us
2018-12-08T08:09:56.480Z,-22.1126,-71.5827,16.59,4.2,mb,,162,1.346,1.08,us,us1000i4zt,2019-02-16T19:52:31.040Z,"142 km W of Tocopilla, Chile",earthquake,3.1,5.4,0.159,11,reviewed,us,us
2018-12-08T07:57:05.540Z,-30.7611,-71.6815,38.62,4.2,mb,,115,0.095,1.04,us,us1000i4zr,2019-02-16T19:52:31.040Z,"49 km WSW of Ovalle, Chile",earthquake,5.4,11.3,0.176,9,reviewed,us,us
2018-12-08T03:31:39.350Z,-24.0563,-66.7989,187.45,4.6,mb,,34,1.677,1.17,us,us1000i4xi,2019-02-16T19:52:31.040Z,"51 km WNW of San Antonio de los Cobres, Argentina",earthquake,7.5,7.9,0.036,234,reviewed,us,us
2018-12-07T20:07:30.840Z,-45.6878,-77.6051,10,4.2,mb,,229,3.734,0.89,us,us1000i4g7,2019-02-16T19:52:30.040Z,"Off the coast of Aisen, Chile",earthquake,8.5,2,0.263,4,reviewed,us,us
2018-12-07T17:40:21.250Z,-24.2401,-66.9738,152.66,4.5,mb,,43,1.693,1.24,us,us2000itab,2019-02-16T19:52:30.040Z,"66 km W of San Antonio de los Cobres, Argentina",earthquake,5.1,10.2,0.241,6,reviewed,us,us
2018-12-07T17:18:16.070Z,-16.9207,-65.8981,28.64,4,mb,,48,2.231,0.84,us,us2000is9d,2019-02-16T19:52:30.040Z,"47 km N of Colomi, Bolivia",earthquake,7.1,7.7,0.182,8,reviewed,us,us
2018-12-07T16:49:31.930Z,-10.2664,-75.3172,10,4.4,mb,,104,2.272,1.48,us,us1000i4a2,2019-02-16T19:52:30.040Z,"35 km NNE of Oxapampa, Peru",earthquake,5.9,1.9,0.13,17,reviewed,us,us
